created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,date,hour,day,month,dayofweek
2026-04-07 14:00:42+00:00,129,0.470588235294116,0.6712328767123288,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:01:03+00:00,130,0.4117647058823515,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:01:25+00:00,131,0.470588235294116,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:01:46+00:00,132,0.470588235294116,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:02:07+00:00,133,0.470588235294116,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:02:29+00:00,134,0.470588235294116,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:03:04+00:00,135,0.470588235294116,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:03:25+00:00,136,0.529411764705884,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:03:47+00:00,137,0.470588235294116,0.6621004566210047,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:04:08+00:00,138,0.529411764705884,0.6666666666666665,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:04:30+00:00,139,0.529411764705884,0.6712328767123288,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:04:51+00:00,140,0.529411764705884,0.6712328767123288,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
2026-04-07 14:05:12+00:00,141,0.470588235294116,0.6757990867579906,0.0,0.0,0.37690913761032707,0.3421052631578938,0.6470588235294095,0.29999999999999716,2026-04-07,14,7,4,1
