name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,cloudcover,visibility,solarradiation,solarenergy,severerisk,soilmoisture04,soilmoisture10,windspeed50,conditions,description,icon,stations,source,windspeed,uvindex,soilmoisture01
india,2025-09-04,92.4,77.0,82.5,106.4,77.0,89.5,77.4,85.7,0.24,100,29.17,rain,82.4,2.0,214.1,18.4,30.0,4.1,5.4,12.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-05,90.0,78.8,83.3,106.3,78.8,91.6,77.5,83.2,0.461,100,41.67,rain,74.3,2.3,167.9,14.6,30.0,3.9,5.3,18.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-06,93.2,79.6,85.6,109.5,79.6,96.4,77.7,78.2,0.316,100,75.0,rain,69.9,2.4,142.5,12.4,30.0,3.9,5.2,17.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-07,91.4,80.6,84.0,107.0,87.1,94.2,77.8,82.0,0.19,100,41.67,rain,71.1,2.2,190.8,16.5,30.0,3.8,5.2,14.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-08,94.1,78.8,86.1,105.0,78.8,93.7,75.9,73.8,0.209,100,54.17,rain,57.1,2.5,210.9,18.2,10.0,3.8,5.1,8.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-09,95.1,80.5,86.5,111.6,87.9,98.5,77.9,76.4,0.016,100,8.33,rain,34.3,6.3,220.9,19.1,30.0,3.7,5.0,13.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139,remote",obs,,,
india,2025-09-10,92.3,80.6,86.0,104.8,87.1,96.4,77.0,75.6,0.0,0,0.0,rain,31.4,2.8,235.4,20.4,30.0,3.6,5.0,18.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-11,92.9,78.8,85.2,102.8,78.8,92.3,74.2,70.7,0.0,0,0.0,,35.5,2.9,224.9,19.5,10.0,3.6,5.0,17.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-12,92.8,78.0,85.2,103.0,78.0,91.2,73.7,69.6,0.0,0,0.0,,37.8,2.9,217.0,18.9,10.0,3.6,4.9,13.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
india,2025-09-13,95.0,78.8,87.1,104.3,78.8,95.0,74.3,67.2,0.0,0,0.0,,43.3,2.9,181.2,15.7,10.0,3.5,4.8,10.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"INI0000VIDP,INI0000VIDD,VIDP,INM00042139",obs,,,
